Modelo,Acurácia (%),Precision (%),Recall (%),F1-Score (%),Parâmetros,Épocas,LR Scheduler
OrbitalVision Baseline,93.21,93.27,93.21,93.18,"2,193,674",30,"StepLR(10, 0.5)"
OrbitalVision Deep,95.90,95.91,95.90,95.89,"3,637,674",40,CosineAnnealing
